geneID	Coefficient of Variation	Louvain Cluster	Maximum Data Value	Mean Data Value	Minimum Data Value	Node Component Identifier	Node Degree	Node Multiplicity	Standard Deviation	Strongest Data Column	Variance
Rb1cc1	0.06429414307215435	Cluster 1	8.30703539818032	7.280839805249799	6.39716278195343	Component 1	13	1	0.46811535612416694	010_C_rn_neg	0.21913198663925565
Rrs1	0.10901178750899083	Cluster 6	6.32920381492524	4.656013907693074	3.81104553467482	Component 1	3	1	0.5075603987443434	245_d12_rp	0.25761755837351696
Mybl1		Cluster 5	4.39889345113967	1.5218360754818077	-2.5552719016565	Component 1	1	1	1.511255731331787	241_d12_rp	2.283893885483174
Sgk3		Cluster 6	5.65647944015541	2.053247160325081	-2.46465912151125	Component 1	4	1	1.7348604661671052	208_d11_rp	3.0097408370695455
Ncoa2	0.05207892837040613	Cluster 1	9.40392490451093	8.228366884191155	7.47764187498924	Component 1	7	1	0.4285245295672131	4192_C_rp	0.1836332724408013
Gm38376	0.38307069042163744	Cluster 2	4.63593427660753	2.432528376806057	0.494946984729987	Component 1	1	1	0.9318303247733213	4181_C_ra	0.8683077541671534
Gm37702		Cluster 2	5.08319306634608	2.3670425585403487	-2.36192229314431	Component 1	4	1	1.3989014642319109	4181_C_ra	1.9569253066301842
Gm38120	0.2703090871795851	Cluster 2	6.36556909657858	4.116600391405459	1.64479467413412	Component 1	7	1	1.1127544940839322	4192_C_rp	1.2382225641039881
Gm38380	0.3452437189368748	Cluster 2	5.52052175580262	3.30576983293377	0.00994584501728851	Component 1	7	1	1.141296271071386	4181_C_ra	1.3025571783614507
Rpl7	0.04083167581488974	Cluster 6	10.1997273457538	9.098844921237545	8.61817982094988	Component 1	5	1	0.37152108611392737	199_d12_rp	0.13802791742727222
Mcm3	0.12120054569748036	Cluster 5	8.55598927802477	6.740204888301841	5.45234542483719	Component 1	18	1	0.8169165105750078	245_d12_rp	0.6673525852500469
Gm4956		Cluster 10	7.07657083156227	4.9194712541909285	-1.11290876021428	Component 1	6	1	1.9224144260029976	010_S_rn_pos	3.695677225304435
Lmbrd1	0.09221706497107025	Cluster 1	6.62411037537737	5.501322435927398	4.43934378396228	Component 1	6	1	0.5073158085007233	4216_C_rp	0.2573693295547426
Phf3	0.03347079660788356	Cluster 1	8.60510121517516	7.997564351884871	7.43559351592476	Component 1	6	1	0.26768484978039864	293_C_ra	0.07165517880195457
Gm37906	0.2631889283169815	Cluster 2	4.3489568089142	2.838634076931572	0.586230406583032	Component 1	3	1	0.7470970605916845	002_S_rn_pos	0.5581540179447351
Ptp4a1	0.12425962359011393	Cluster 2	5.91513095746432	4.744055132651391	3.21786837150825	Component 1	4	1	0.5894945050740098	400_C_ra	0.3475037715124517
Prim2	0.1540850877714357	Cluster 5	5.38242997045457	4.105242940109619	2.85740576612413	Component 1	4	1	0.6325567187498574	245_d12_rp	0.4001280024355862
Dst	0.0768685901337246	Cluster 2	10.2099442722651	8.690312159625007	7.0815892877011	Component 1	7	1	0.6680120435323378	008_C_rn_neg	0.44624009030425
Ccdc115	0.1681845251670198	Cluster 6	4.77704768739714	3.3504631677704584	1.93050918289571	Component 1	2	1	0.5634960569610635	245_d12_ra	0.3175278062106662
Plekhb2	0.06660307074895973	Cluster 3	7.04326044650517	6.437920234652651	5.21019573101434	Component 1	5	1	0.4287852568647299	341_S_ra	0.1838567965045524
Neurl3	0.19644972141102882	Cluster 1	9.59766431090294	7.015168211208662	5.15990194919695	Component 1	8	1	1.378127840743447	007_C_rn_neg	1.8992363454321952
Cnnm4	0.17887111356907087	Cluster 1	5.92861202496334	4.164366157792555	2.55259139672841	Component 1	4	1	0.7448848119537075	4205_C_rp	0.5548533830793101
Sema4c		Cluster 2	4.87129176906458	2.3215628938797295	-2.09369089429434	Component 1	4	1	1.600006531537442	4209_L_ra	2.5600209009624755
Zap70	0.06597711485510566	Cluster 3	8.57402712114108	7.706248102016535	6.10581371507467	Component 1	4	1	0.5084360161286849	294_S_ra	0.2585071824968083
Mgat4a	0.15410917513940434	Cluster 1	6.34401800156713	4.874913384936851	3.1461534650954	Component 1	2	1	0.7512688806286596	4193_C_rp	0.5644049310010392
Mitd1	0.11471911364656909	Cluster 5	5.71312425910824	4.77295783003235	3.35088757601378	Component 1	1	1	0.547549491733763	348_L_ra	0.2998104458979022
Aff3	0.29451307557053663	Cluster 8	7.99825009955923	5.7231710868465955	1.02309733375869	Component 1	6	1	1.6855487188035616	001_L_rn_pos	2.8410744834603276
Chst10	0.11548499567617501	Cluster 8	5.64212571226445	4.749970636139131	3.35738036781764	Component 1	4	1	0.5485503383764858	4192_L_rp	0.3009074737329571
Rpl31	0.04798378575348937	Cluster 6	8.12937177517808	7.118476232369378	6.49643683832876	Component 1	2	1	0.34157143842531845	241_d12_rp	0.11667104754794112
Cnot11	0.05807743385947292	Cluster 3	5.97399297268668	5.242093038400836	4.32174987173133	Component 1	2	1	0.304447311722928	293_C_ra	0.09268816561531769
Rnf149	0.09333525964109468	Cluster 2	6.23610415197458	5.286604124259465	4.34058839284331	Component 1	4	1	0.4934265685574391	349_C_rp	0.24346977855836913
