Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
IL-2/STAT5 Signaling	8/199	0.025728998028296816	0.9519729270469822	0	0	2.355113034530763	8.620035403554416	SELL;HUWE1;RHOH;ETFBKMT;CAPN3;GPR83;ITGA6;IGF1R
Estrogen Response Early	6/200	0.14495535643907975	0.9723929008190163	0	0	1.728759331674369	3.3388038448295463	INPP5F;BCL11B;ASB13;IL6ST;ADD3;IGF1R
KRAS Signaling Up	6/200	0.14495535643907975	0.9723929008190163	0	0	1.728759331674369	3.3388038448295463	ST6GAL1;GPRC5B;CAB39L;IKZF1;KCNN4;WDR33
Wnt-beta Catenin Signaling	2/42	0.170093433016401	0.9723929008190163	0	0	2.784943181818182	4.933268924456116	LEF1;TCF7
Interferon Alpha Response	3/97	0.2463675515042865	0.9723929008190163	0	0	1.7777777777777777	2.4905435490101633	SELL;TRIM5;TRIM14
UV Response Dn	4/144	0.2516543720801635	0.9723929008190163	0	0	1.592326530612245	2.1969308000839627	INPP4B;ATRN;ADD3;IGF1R
Pperoxisome	3/104	0.27980915378381543	0.9723929008190163	0	0	1.653973089616654	2.106578693688696	MSH2;ABCC5;HSD17B4
E2F Targets	5/200	0.28087670476111676	0.9723929008190163	0	0	1.4290647270589965	1.8146828085081488	MSH2;PRKDC;SMC6;PDS5B;SMC4
Apical Junction	4/200	0.4735740625614532	0.9723929008190163	0	0	1.1341107871720117	0.8476876641024312	MAPK11;RASA1;EVL;LDLRAP1
heme Metabolism	4/200	0.4735740625614532	0.9723929008190163	0	0	1.1341107871720117	0.8476876641024312	MPP1;KAT2B;KLF3;ADD1
Hedgehog Signaling	1/36	0.47453604339044186	0.9723929008190163	0	0	1.5872925940914608	1.1831959995342332	RASA1
Pancreas Beta Cells	1/40	0.5108289161750494	0.9723929008190163	0	0	1.4242028038062033	0.9566662861879099	DPP4
Androgen Response	2/100	0.5308239047065556	0.9723929008190163	0	0	1.1333487940630798	0.7177780596011828	INPP4B;ABCC4
Apoptosis	3/161	0.5448882850227112	0.9723929008190163	0	0	1.0542031807854593	0.6400852754241366	LEF1;PLCB2;ADD1
PI3K/AKT/mTOR  Signaling	2/105	0.5572096110007528	0.9723929008190163	0	0	1.0780560458958517	0.6304620403943101	PIKFYVE;CAB39L
Reactive Oxygen Species Pathway	1/49	0.5836074304796434	0.9723929008190163	0	0	1.1566336166194524	0.622878119678283	SCAF4
TGF-beta Signaling	1/54	0.6192641408334016	0.9723929008190163	0	0	1.0472499866374472	0.5018666735406504	ID3
Myc Targets V2	1/58	0.6455839656819015	0.9723929008190163	0	0	0.9735599622285175	0.426029838146369	TCOF1
Mitotic Spindle	3/199	0.6871332837356737	0.9723929008190163	0	0	0.8481597767312054	0.318252446192509	RASA1;SMC4;CD2AP
G2-M Checkpoint	3/200	0.6903854515393084	0.9723929008190163	0	0	0.8438110113237017	0.3126363775917088	ORC5;PDS5B;SMC4
Estrogen Response Late	3/200	0.6903854515393084	0.9723929008190163	0	0	0.8438110113237017	0.3126363775917088	METTL3;IL6ST;ADD3
p53 Pathway	3/200	0.6903854515393084	0.9723929008190163	0	0	0.8438110113237017	0.3126363775917088	DGKA;ABCC5;FGF13
Cholesterol Homeostasis	1/74	0.733922097305285	0.9723929008190163	0	0	0.7595560557258721	0.2349704815284941	ATXN2
Fatty Acid Metabolism	2/158	0.7722799180700466	0.9723929008190163	0	0	0.7098630536130536	0.18343443854684363	HSD17B4;ACSS1
IL-6/JAK/STAT3 Signaling	1/87	0.7892465228166978	0.9723929008190163	0	0	0.6443112194479215	0.15249336120630314	IL6ST
Bile Acid Metabolism	1/112	0.8654427798899447	0.9723929008190163	0	0	0.49855804813311894	0.07204862711711177	HSD17B4
Interferon Gamma Response	2/200	0.8718921469465938	0.9723929008190163	0	0	0.5580808080808081	0.07650704540191897	TRIM14;SAMHD1
mTORC1 Signaling	2/200	0.8718921469465938	0.9723929008190163	0	0	0.5580808080808081	0.07650704540191897	ARPC5L;ADD3
Inflammatory Response	2/200	0.8718921469465938	0.9723929008190163	0	0	0.5580808080808081	0.07650704540191897	TLR1;SELL
Allograft Rejection	2/200	0.8718921469465938	0.9723929008190163	0	0	0.5580808080808081	0.07650704540191897	TLR1;IL16
Coagulation	1/138	0.9156696789923685	0.9723929008190163	0	0	0.4034035689915428	0.035539689758035294	DPP4
UV Response Up	1/158	0.9411551805044908	0.9723929008190163	0	0	0.35165370527417406	0.02132682764045273	IL6ST
TNF-alpha Signaling via NF-kB	1/200	0.9723929008190163	0.9723929008190163	0	0	0.2768374450154455	0.0077501576356843755	IL6ST
Adipogenesis	1/200	0.9723929008190163	0.9723929008190163	0	0	0.2768374450154455	0.0077501576356843755	ATP1B3
Complement	1/200	0.9723929008190163	0.9723929008190163	0	0	0.2768374450154455	0.0077501576356843755	DPP4
Myc Targets V1	1/200	0.9723929008190163	0.9723929008190163	0	0	0.2768374450154455	0.0077501576356843755	SRPK1
Xenobiotic Metabolism	1/200	0.9723929008190163	0.9723929008190163	0	0	0.2768374450154455	0.0077501576356843755	ENTPD5
