Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Glycolysis and gluconeogenesis	17/75	4.941148524181666E-18	3.898566185579334E-15	0	0	28.33477011494253	1129.1103806720303	TPI1;MDH1;PGAM1;SLC2A1;AKR1A1;SLC2A3;ENO1;HK2;LDHA;PFKL;PKM;PGK1;PGM2;ALDOC;ALDOA;GAPDH;PFKP
Glucose metabolism	14/61	3.805180361408972E-15	1.5011436525758393E-12	0	0	28.394285126940076	942.7587817255538	TPI1;MDH1;PGAM1;ENO1;PYGL;PPP2CB;PFKL;PGK1;PGM2;ALDOC;ALDOA;CALM1;GAPDH;PFKP
Metabolism	56/1615	6.251776485701165E-15	1.6442172157394063E-12	0	0	3.966489785604603	129.72766085466466	GLDC;COX4I1;NDUFA10;MSMO1;ENO1;COX6A1;HK2;GM2A;IMPA2;NAMPT;BSG;PGM2;UQCRFS1;TPI1;HMGCS1;PGAM1;AKR1A1;ACSL4;ELOVL6;PGD;ACLY;PKM;ALDOC;ALDOA;GAPDH;MTMR1;IDI1;OAT;AK4;HMGCR;HSD17B7;LDHA;FUT8;ATP5D;PLCG2;PGK1;CKB;NDUFV3;LDLR;MDH1;SQLE;PFKL;P4HA1;P4HA2;UQCRQ;IMPDH1;GNB1;MGAT4B;GNAS;DEGS1;HPSE;ACO2;P4HB;CALM1;PFKP;CDS2
HIF-1 transcriptional activity in hypoxia	14/66	1.2464778025653622E-14	2.458677465560177E-12	0	0	25.657562244518765	821.449164146953	EGLN1;EGLN3;TFRC;BNIP3;SLC2A1;ENO1;NDRG1;HK2;VEGFA;LDHA;PFKL;PKM;PGK1;ALDOA
Glycolysis	10/27	1.583716487941066E-13	2.4991046179710024E-11	0	0	55.09339280735991	1623.8133993102967	PPP2CB;PFKL;TPI1;PGAM1;PGK1;ALDOC;ENO1;ALDOA;GAPDH;PFKP
Carbohydrate metabolism	19/235	1.6397327714833314E-11	2.156248594500581E-9	0	0	8.518908140814082	211.5577362079827	TPI1;MDH1;PGAM1;SLC2A1;SLC2A3;ENO1;PYGL;PGD;HK2;PPP2CB;PFKL;PGK1;PGM2;ALDOC;HPSE;CALM1;ALDOA;GAPDH;PFKP
Cholesterol biosynthesis	8/24	1.2365815922389723E-10	1.3938041089664987E-8	0	0	46.39201877934272	1058.3643268104076	IDI1;SREBF1;SQLE;HMGCS1;MSMO1;HMGCR;HSD17B7;SREBF2
FSH regulation of apoptosis	18/263	8.668008925431936E-10	8.548823802707246E-8	0	0	7.069709460138736	147.51805507684776	IFITM3;IFITM1;MAP2K1;DYRK3;IFITM2;DUSP3;RAB5C;ITGB5;EMP1;MSMO1;HK2;VEGFA;P4HA2;GNB1;PGK1;GNAS;LDLR;VCL
Gluconeogenesis	8/31	1.2410771748178326E-9	1.0880109899236333E-7	0	0	32.26127781179833	661.591255491581	TPI1;MDH1;PGAM1;PGK1;ALDOC;ENO1;ALDOA;GAPDH
T cell receptor regulation of apoptosis	26/603	3.349370582318498E-9	2.642653389449295E-7	0	0	4.437203928365107	86.58978675073944	IFITM3;IFITM1;CDKN1A;ENO1;PPP2CB;NAMPT;ATP5D;PGK1;RAC1;PIM2;SLC16A1;H2AFY;PGAM1;BNIP3;GZMB;MIF;UBE2A;EEF2;SOD2;RAD23B;SOD1;TRAF6;IL2RA;VIM;GAPDH;SNRPB
Tricarboxylic acid (TCA) cycle and respiratory electron transport	12/117	6.7954231668445594E-9	4.874171707854871E-7	0	0	10.758168147641832	202.32904602462943	LDHA;SLC16A1;UQCRQ;COX4I1;NDUFA10;BSG;ATP5D;UQCRFS1;NDUFV3;ACO2;COX6A1;SLC16A3
Fructose and mannose metabolism	7/34	7.635254536052405E-8	5.020179857454456E-6	0	0	23.92938733125649	392.1525135571877	MTMR1;PFKL;TPI1;ALDOC;ALDOA;HK2;PFKP
Pentose phosphate pathway	6/27	4.146807665588159E-7	2.5167932678069672E-5	0	0	26.256478405315615	385.85882238016984	PFKL;PGM2;ALDOC;PGD;ALDOA;PFKP
SREBF and miR-33 in cholesterol and lipid homeostasis	5/16	6.227717414298495E-7	3.509763599915366E-5	0	0	41.5993265993266	594.4163458120346	SREBF1;HMGCS1;HMGCR;LDLR;SREBF2
SREBP control of lipid biosynthesis	4/8	9.809429923104398E-7	5.1597601395529134E-5	0	0	91.12903225806451	1260.7475148950405	SREBF1;HMGCS1;LDLR;SREBF2
Lipid and lipoprotein metabolism	19/489	2.2959423557119684E-6	1.1321865741604645E-4	0	0	3.8642405729934697	50.174718495633876	MTMR1;SREBF1;IDI1;STARD4;HMGCS1;ACSL4;ELOVL6;MSMO1;HMGCR;HSD17B7;SREBF2;PLD3;SQLE;ACLY;GM2A;DEGS1;P4HB;LDLR;CDS2
Oncostatin M	14/311	1.0075778297473259E-5	4.676346515709648E-4	0	0	4.43644171180403	51.04293089585818	CDKN1A;DYRK3;CISH;HMGCS1;HMGCR;SOD2;HK2;VEGFA;LDHA;NAMPT;PGK1;VIM;LDLR;SLC16A3
Kit receptor transcriptional targets	3/5	1.3094192259133266E-5	5.614692218272583E-4	0	0	136.0802752293578	1529.997041886883	BNIP3;SLC2A1;VEGFA
Insulin signaling pathway	13/277	1.3520805088362365E-5	5.614692218272583E-4	0	0	4.620028409090909	51.79643645048901	SREBF1;MAP2K1;CISH;SLC2A1;PYGL;HK2;SOCS2;PFKL;PPP1R3B;TRIP10;RAC1;CALM1;RHOQ
Adherens junction cell adhesion	7/74	1.7565721986846267E-5	6.872928166004741E-4	0	0	9.623657413865253	105.37482552618798	CSNK2B;CTNNA1;PTPRJ;RAC1;ACTN4;VCL;ACTG1
Hemostasis pathway	17/468	1.8998490064862067E-5	6.872928166004741E-4	0	0	3.5713229859571323	38.824391636627425	SLC16A1;KIF23;ACTN4;YWHAZ;VEGFA;SOD1;SLC7A5;PPP2CB;BSG;GNB1;PLCG2;GNAS;RAC1;CALM1;ALDOA;SLC16A3;VCL
Alzheimer's disease	10/169	1.916405825755441E-5	6.872928166004741E-4	0	0	5.848162389340964	63.52551189614882	UQCRQ;COX4I1;NDUFA10;ATP5D;UQCRFS1;COX7A2;NDUFV3;COX6A1;CALM1;GAPDH
Electron transport chain	8/105	2.177010943843155E-5	7.447748536158665E-4	0	0	7.620928319055225	81.8104571161151	UQCRQ;COX4I1;NDUFA10;ATP5D;UQCRFS1;COX7A2;NDUFV3;COX6A1
Pyruvate metabolism	6/52	2.2654748398961717E-5	7.447748536158665E-4	0	0	11.971486349848332	128.0367355167867	LDHA;PKM;SLC16A1;MDH1;BSG;SLC16A3
Hypoxia-inducible factor in the cardivascular system	4/16	2.3790975884101065E-5	7.508431989022296E-4	0	0	30.36405529953917	323.26193347562537	LDHA;UBE2A;P4HB;VEGFA
Respiratory electron transport, ATP biosynthesis by chemiosmotic coupling, and heat production by uncoupling proteins	7/81	3.1794736546520634E-5	9.648479667386454E-4	0	0	8.710217226572366	90.20483699570947	UQCRQ;COX4I1;NDUFA10;ATP5D;UQCRFS1;NDUFV3;COX6A1
HIF-2-alpha transcription factor network	5/34	3.37385365334079E-5	9.859150120318087E-4	0	0	15.764687100893997	162.32693140811645	EGLN1;EGLN3;SLC2A1;PGK1;VEGFA
BDNF signaling pathway	12/261	3.558580474609442E-5	0.0010027571408810177	0	0	4.503372341038796	46.130581632600176	SLC7A5;CDKN1A;TMED9;MAP2K1;CLCN5;IFITM2;P4HA1;ITGB5;P4HA2;PLP2;VCL;VEGFA
Huntington's disease	10/184	3.974251314823777E-5	0.0010812704439296414	0	0	5.339924824317699	54.10993394173882	UQCRQ;COX4I1;NDUFA10;ATP5D;UQCRFS1;COX7A2;NDUFV3;COX6A1;SOD2;SOD1
Pyruvate metabolism and citric acid (TCA) cycle	5/40	7.559965701649884E-5	0.0019882709795339196	0	0	13.058201058201059	123.92309601612827	LDHA;SLC16A1;BSG;ACO2;SLC16A3
Smooth muscle contraction	4/22	9.077117518174569E-5	0.0023102728134966888	0	0	20.236559139784948	188.34507137368448	ITGB5;TPM4;CALM1;VCL
Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds	7/96	9.476754814678424E-5	0.0023366123589941487	0	0	7.2366901186600865	67.04130171419105	SLC6A6;SLC16A1;SLC31A1;SLC2A1;SLC39A6;SLC2A3;SLC16A3
