time	animal1	animal2	animal3	animal4	animal5	animal6	animal7	animal8	animal9	animal10	animal11	animal12	animal13	animal14	animal15	animal16	animal17	animal18	animal19	animal20	animal21	animal22	animal23	animal24	animal25	animal26	animal27	animal28	animal29	animal30	animal31	animal32	animal33	animal34	animal35	animal36	animal37	animal38	animal39	animal40	animal41	animal42	animal43	animal44	animal45	animal46	animal47	animal48	animal49	animal50	animal51	animal52	animal53	animal54	animal55	animal56	animal57	animal58	animal59	animal60	animal61	animal62
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1.5	0.5	1.5	1.5	1.5	0.5	1.5	1.5	0.5	1.5	2	2	2	2	2	0.5	1.5	0.5	1.5	1.5	0.5	1.5	1.5	0.5	0.5	2	2.5	2	2	2.5	0.5	0.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	2	2	2.5	2	2	2	0.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	2	2	2.5	2	2	2
6	2.5	2.5	2.5	2.5	2.5	2	2.5	2	2.5	2.5	1	2	1	2	2	3	3	2.5	3	4	2	3	2.5	2.5	3	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2	2	2.5	2.5	2.5	1.5	0.5	1.5	1	1	1	2.5	2.5	2.5	3	2.5	2.5	2	2.5	2.5	3	2	2	2	1	2	2
10	1	0.5	1	1	2	0.5	0.5	1.5	2	2	0.5	0.5	0.5	0.5	0.5	3	4.5	3	4	4	3	3	4	3	3	3	3	3	3	3	0.5	1	1	1	0.5	0.5	0.5	2	1.5	1.5	1.5	0.5	0.5	0.5	0.5	0.5	1	2	1	2	0.5	2	2	2	2.5	2	1.5	0.5	2	2	1.5	0.5
13	0.5	0.5	0.5	0.5	0.5	0	0.5	0.5	0.5	0	0	0.5	0	0	0.5	2.5		2.5	3	2.5	3	3	3	3	3	3	3	3	3	3	0.5	0.5	0.5	0.5	0.5	0	0	0	0.5	0.5	0	0.5	0.5	0	0.5	0	0.5	0.5	0.5	0.5	0.5	3	3	3	2.5	2.5	1.5	0.5	1	2	1.5	0.5
17	0	0	0	0	0.5	0	0	0.5	0.5	0	0.5	0	0.5	0	0	3		3	4.5	4	3	3	4	4	4	4	4	3	4	4	1.5	0	0	0.5	0	0	0	0.5	1.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0.5	0.5	0	4	3	3	2.5	2.5	2.5	1	1.5	1	1	1
21	0.5	0.5	0.5	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	3.5		4.5		3.5	3	3	3	4	4	4	4	5	4	4	1.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	4	2.5	2.5	3	2.5	3.5	0.5	1.5	1	2	0.5
24	0.5	0.5	0.5	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0	4		4		4	4	4	2.5	2.5	3.5	4	4	5	4	4.5	1.5	0.5	0.5	0.5	0.5	0	0.5	1.5	1.5	0.5	0	0.5	1	1	1	1	0.5	0.5	0.5	0.5	0.5	4	2.5	2.5	2.5	2.5	2	1	1.5	2.5	2	2.5
27	0.5	0.5	1.5	0.5	0.5	0	0	0	0	0.5	0.5	0.5	0.5	0	0	4		4			5	4.5	3	3.5	3	4	4	5	4		1.5	0.5	2.5	0.5	0.5	0.5	0.5	1.5	1.5	0.5	0	0.5	0.5	0.5	0.5	2	0.5	0.5	1	1	0.5	3	4.5	3	2.5	3.5	2	1	1.5	3.5	2	2.5
31	0	0	0.5	0.5	0	0.5	0.5	0	0	0.5	0	0.5	0.5	0	0	4.5		4.5					4.5	4.5	3.5	4	4	5	4.5		1.5	0.5	4	0.5	0.5	0.5	0.5	3	1.5	0.5	0.5	0.5	1	1	2		0.5	0.5	2	2	0.5	5	4.5	4.5	3	4	2	2	1.5	3.5	2	
