mouse	time	event	group
BMonly1	63	0	BMonly
BMonly2	63	0	BMonly
BMonly3	63	0	BMonly
BMonly4	63	0	BMonly
BMonly5	63	0	BMonly
BMonly6	63	0	BMonly
BMonly7	63	0	BMonly
BMonly8	63	0	BMonly
BMonly9	63	0	BMonly
BMonly10	63	0	BMonly
BMonly11	63	0	BMonly
BMonly12	63	0	BMonly
BMonly13	63	0	BMonly
BMonly14	63	0	BMonly
BMonly15	63	0	BMonly
noTreg1	10	1	noTreg
noTreg2	17	1	noTreg
noTreg3	24	1	noTreg
noTreg4	25	1	noTreg
noTreg5	27	1	noTreg
noTreg6	27	1	noTreg
noTreg7	31	1	noTreg
noTreg8	32	1	noTreg
noTreg9	35	1	noTreg
noTreg10	36	1	noTreg
noTreg11	36	1	noTreg
noTreg12	38	1	noTreg
noTreg13	52	1	noTreg
noTreg14	63	0	noTreg
noTreg15	63	0	noTreg
allo1	28	1	allo
allo2	63	0	allo
allo3	63	0	allo
allo4	63	0	allo
allo5	63	0	allo
allo6	63	0	allo
allo7	63	0	allo
allo8	63	0	allo
allo9	63	0	allo
allo10	63	0	allo
allo11	63	0	allo
allo12	63	0	allo
allo13	63	0	allo
allo14	63	0	allo
allo15	63	0	allo
allo16	63	0	allo
poly1	29	1	poly
poly2	31	1	poly
poly3	31	1	poly
poly4	35	1	poly
poly5	42	1	poly
poly6	54	1	poly
poly7	63	0	poly
poly8	63	0	poly
poly9	63	0	poly
poly10	63	0	poly
poly11	63	0	poly
poly12	63	0	poly
poly13	63	0	poly
poly14	63	0	poly
poly15	63	0	poly
poly16	63	0	poly
