Div	Rep	Type	Count	Exp	Ratio
undivided	rep1	none	24.50	none	none
Div1	rep1	none	11.60	none	none
Div2	rep1	none	15.70	none	none
Div3	rep1	none	22.20	none	none
Div4	rep1	none	17.10	none	none
Div5	rep1	none	6.69	none	none
undivided	rep2	none	23.30	none	none
Div1	rep2	none	11.30	none	none
Div2	rep2	none	15.70	none	none
Div3	rep2	none	22.60	none	none
Div4	rep2	none	17.80	none	none
Div5	rep2	none	7.13	none	none
undivided	rep3	none	13.70	none	none
Div1	rep3	none	12.70	none	none
Div2	rep3	none	12.40	none	none
Div3	rep3	none	19.10	none	none
Div4	rep3	none	21.30	none	none
Div5	rep3	none	14.80	none	none
undivided	rep4	none	12.90	none	none
Div1	rep4	none	12.30	none	none
Div2	rep4	none	12.40	none	none
Div3	rep4	none	19.30	none	none
Div4	rep4	none	21.40	none	none
Div5	rep4	none	15.40	none	none
undivided	rep1	allo1:1	69.85	allo	01:01
Div1	rep1	allo1:1	11.01	allo	01:01
Div2	rep1	allo1:1	6.68	allo	01:01
Div3	rep1	allo1:1	5.03	allo	01:01
Div4	rep1	allo1:1	2.87	allo	01:01
Div5	rep1	allo1:1	0.88	allo	01:01
undivided	rep2	allo1:1	78.40	allo	01:01
Div1	rep2	allo1:1	8.44	allo	01:01
Div2	rep2	allo1:1	3.77	allo	01:01
Div3	rep2	allo1:1	2.33	allo	01:01
Div4	rep2	allo1:1	1.04	allo	01:01
Div5	rep2	allo1:1	0.29	allo	01:01
undivided	rep3	allo1:1	61.90	allo	01:01
Div1	rep3	allo1:1	24.70	allo	01:01
Div2	rep3	allo1:1	5.20	allo	01:01
Div3	rep3	allo1:1	3.71	allo	01:01
Div4	rep3	allo1:1	2.26	allo	01:01
Div5	rep3	allo1:1	1.14	allo	01:01
undivided	rep4	allo1:1	54.00	allo	01:01
Div1	rep4	allo1:1	27.00	allo	01:01
Div2	rep4	allo1:1	8.26	allo	01:01
Div3	rep4	allo1:1	5.16	allo	01:01
Div4	rep4	allo1:1	3.20	allo	01:01
Div5	rep4	allo1:1	1.59	allo	01:01
undivided	rep1	poly1:1	61.45	poly	01:01
Div1	rep1	poly1:1	16.75	poly	01:01
Div2	rep1	poly1:1	10.19	poly	01:01
Div3	rep1	poly1:1	5.89	poly	01:01
Div4	rep1	poly1:1	2.53	poly	01:01
Div5	rep1	poly1:1	0.95	poly	01:01
undivided	rep2	poly1:1	67.90	poly	01:01
Div1	rep2	poly1:1	13.65	poly	01:01
Div2	rep2	poly1:1	8.05	poly	01:01
Div3	rep2	poly1:1	4.78	poly	01:01
Div4	rep2	poly1:1	1.80	poly	01:01
Div5	rep2	poly1:1	0.50	poly	01:01
undivided	rep3	poly1:1	63.20	poly	01:01
Div1	rep3	poly1:1	15.30	poly	01:01
Div2	rep3	poly1:1	8.77	poly	01:01
Div3	rep3	poly1:1	6.29	poly	01:01
Div4	rep3	poly1:1	2.34	poly	01:01
Div5	rep3	poly1:1	0.60	poly	01:01
undivided	rep4	poly1:1	52.20	poly	01:01
Div1	rep4	poly1:1	28.40	poly	01:01
Div2	rep4	poly1:1	9.01	poly	01:01
Div3	rep4	poly1:1	5.68	poly	01:01
Div4	rep4	poly1:1	2.80	poly	01:01
Div5	rep4	poly1:1	1.14	poly	01:01
undivided	rep1	allo1:4	56.25	allo	01:04
Div1	rep1	allo1:4	14.45	allo	01:04
Div2	rep1	allo1:4	10.65	allo	01:04
Div3	rep1	allo1:4	8.80	allo	01:04
Div4	rep1	allo1:4	5.12	allo	01:04
Div5	rep1	allo1:4	1.62	allo	01:04
undivided	rep2	allo1:4	41.30	allo	01:04
Div1	rep2	allo1:4	13.40	allo	01:04
Div2	rep2	allo1:4	13.90	allo	01:04
Div3	rep2	allo1:4	15.60	allo	01:04
Div4	rep2	allo1:4	9.42	allo	01:04
Div5	rep2	allo1:4	3.30	allo	01:04
undivided	rep3	allo1:4	38.20	allo	01:04
Div1	rep3	allo1:4	27.40	allo	01:04
Div2	rep3	allo1:4	13.20	allo	01:04
Div3	rep3	allo1:4	9.66	allo	01:04
Div4	rep3	allo1:4	7.05	allo	01:04
Div5	rep3	allo1:4	3.12	allo	01:04
undivided	rep4	allo1:4	29.70	allo	01:04
Div1	rep4	allo1:4	25.40	allo	01:04
Div2	rep4	allo1:4	14.20	allo	01:04
Div3	rep4	allo1:4	12.80	allo	01:04
Div4	rep4	allo1:4	10.20	allo	01:04
Div5	rep4	allo1:4	5.66	allo	01:04
undivided	rep1	poly1:4	45.15	poly	01:04
Div1	rep1	poly1:4	18.00	poly	01:04
