"","TRBVset","total","enrichment","p.value","test","p.adj"
"0",2238,5661,1.69367317303189,1.19171096408665e-214,"two.sided",1.54922425331264e-213
"1",776,4686,0.709450531258094,7.86826506141627e-36,"two.sided",5.11437228992058e-35
"2",1178,4147,1.2169533662398,1.41676331363364e-16,"two.sided",2.63113186817676e-16
"3",429,2655,0.69223801924251,1.06534500798649e-21,"two.sided",2.30824751730407e-21
"4",377,2529,0.638638655733815,3.30656567085434e-28,"two.sided",1.43284512403688e-27
"5",384,2540,0.647679556355307,5.14166540355327e-27,"two.sided",1.67104125615481e-26
"6",259,1872,0.592729579749686,2.52714874083025e-26,"two.sided",6.57058672615866e-26
"7",110,611,0.77128370518648,0.00138062340440069,"two.sided",0.00199423380635655
"8",147,574,1.09715534603633,0.194699151532254,"two.sided",0.210924080826608
"9",38,233,0.698699378346457,0.0100985182159636,"two.sided",0.0119346124370479
"10",84,212,1.69748562971659,1.21889980722701e-07,"two.sided",1.98071218674389e-07
"11",23,165,0.597181813167251,0.00307465761639716,"two.sided",0.00399705490131631
"12",0,4,0,0.579364959522734,"two.sided",0.579364959522734
