organ	celltype	WBCperc	type	category
spleen	organ	15.20	resident	organ_resident
spleen	organ	18.70	resident	organ_resident
spleen	organ	15.30	resident	organ_resident
spleen	organ	14.80	resident	organ_resident
mLN	organ	25.30	resident	organ_resident
mLN	organ	29.60	resident	organ_resident
mLN	organ	27.50	resident	organ_resident
mLN	organ	27.40	resident	organ_resident
BM	organ	0.34	resident	organ_resident
BM	organ	0.35	resident	organ_resident
BM	organ	0.25	resident	organ_resident
liver	organ	24.70	resident	organ_resident
liver	organ	22.70	resident	organ_resident
liver	organ	22.70	resident	organ_resident
liver	organ	27.30	resident	organ_resident
colon	organ	6.81	resident	organ_resident
colon	organ	7.45	resident	organ_resident
colon	organ	6.19	resident	organ_resident
colon	organ	4.99	resident	organ_resident
spleen	allo	1.66	Tx	allo_Tx
spleen	allo	1.95	Tx	allo_Tx
spleen	allo	1.60	Tx	allo_Tx
spleen	allo	2.07	Tx	allo_Tx
spleen	allo	2.75	Tx	allo_Tx
spleen	allo	3.53	Tx	allo_Tx
spleen	allo	6.11	Tx	allo_Tx
mLN	allo	23.65	Tx	allo_Tx
mLN	allo	37.23	Tx	allo_Tx
mLN	allo	34.47	Tx	allo_Tx
mLN	allo	32.53	Tx	allo_Tx
BM	allo	0.48	Tx	allo_Tx
BM	allo	1.14	Tx	allo_Tx
BM	allo	1.30	Tx	allo_Tx
BM	allo	2.26	Tx	allo_Tx
liver	allo	10.89	Tx	allo_Tx
liver	allo	33.15	Tx	allo_Tx
liver	allo	23.47	Tx	allo_Tx
liver	allo	26.00	Tx	allo_Tx
liver	allo	37.65	Tx	allo_Tx
liver	allo	53.73	Tx	allo_Tx
liver	allo	57.18	Tx	allo_Tx
colon	allo	4.84	Tx	allo_Tx
colon	allo	22.93	Tx	allo_Tx
colon	allo	18.65	Tx	allo_Tx
colon	allo	19.13	Tx	allo_Tx
colon	allo	31.53	Tx	allo_Tx
colon	allo	34.52	Tx	allo_Tx
colon	allo	47.47	Tx	allo_Tx
spleen	poly	4.91	Tx	poly_Tx
spleen	poly	6.54	Tx	poly_Tx
spleen	poly	7.31	Tx	poly_Tx
spleen	poly	4.76	Tx	poly_Tx
spleen	poly	7.18	Tx	poly_Tx
spleen	poly	8.57	Tx	poly_Tx
mLN	poly	47.33	Tx	poly_Tx
mLN	poly	38.57	Tx	poly_Tx
mLN	poly	43.97	Tx	poly_Tx
mLN	poly	55.34	Tx	poly_Tx
BM	poly	4.67	Tx	poly_Tx
BM	poly	4.83	Tx	poly_Tx
BM	poly	3.53	Tx	poly_Tx
BM	poly	9.42	Tx	poly_Tx
liver	poly	29.49	Tx	poly_Tx
liver	poly	58.16	Tx	poly_Tx
liver	poly	63.53	Tx	poly_Tx
liver	poly	57.14	Tx	poly_Tx
liver	poly	66.28	Tx	poly_Tx
liver	poly	65.62	Tx	poly_Tx
colon	poly	18.41	Tx	poly_Tx
colon	poly	31.90	Tx	poly_Tx
colon	poly	37.53	Tx	poly_Tx
colon	poly	40.29	Tx	poly_Tx
colon	poly	41.10	Tx	poly_Tx
colon	poly	69.14	Tx	poly_Tx
spleen	noTreg	18.694	Tx	noTreg_Tx
spleen	noTreg	9.32	Tx	noTreg_Tx
spleen	noTreg	10.86	Tx	noTreg_Tx
spleen	noTreg	15.11	Tx	noTreg_Tx
mLN	noTreg	82.951	Tx	noTreg_Tx
mLN	noTreg	74.36	Tx	noTreg_Tx
mLN	noTreg	71.47	Tx	noTreg_Tx
mLN	noTreg	76.08	Tx	noTreg_Tx
BM	noTreg	11.999	Tx	noTreg_Tx
BM	noTreg	7.17	Tx	noTreg_Tx
BM	noTreg	14.17	Tx	noTreg_Tx
BM	noTreg	11.72	Tx	noTreg_Tx
liver	noTreg	71.579	Tx	noTreg_Tx
liver	noTreg	76.52	Tx	noTreg_Tx
liver	noTreg	80.06	Tx	noTreg_Tx
liver	noTreg	82.17	Tx	noTreg_Tx
colon	noTreg	82.486	Tx	noTreg_Tx
colon	noTreg	62.13	Tx	noTreg_Tx
colon	noTreg	88.48	Tx	noTreg_Tx
colon	noTreg	87.05	Tx	noTreg_Tx
