organ	celltype	count	type	category
Colon	organ	339000	resident	organ_resident
Colon	organ	245000	resident	organ_resident
Colon	organ	174000	resident	organ_resident
Colon	organ	74000	resident	organ_resident
Colon	allo	2653628	noGvHD	allo_noGvHD
Colon	allo	2078831	noGvHD	allo_noGvHD
Colon	allo	1755301	noGvHD	allo_noGvHD
Colon	allo	3299511	noGvHD	allo_noGvHD
Colon	allo	3091603	noGvHD	allo_noGvHD
Colon	allo	2697084	noGvHD	allo_noGvHD
Colon	poly	3028455	noGvHD	poly_noGvHD
Colon	poly	2578171	noGvHD	poly_noGvHD
Colon	poly	3409640	noGvHD	poly_noGvHD
Colon	poly	4248676	noGvHD	poly_noGvHD
Colon	poly	4121838	noGvHD	poly_noGvHD
Colon	poly	3630682	noGvHD	poly_noGvHD
Colon	allo	2526000	GvHD	allo_GvHD
Colon	allo	2470000	GvHD	allo_GvHD
Colon	allo	2641000	GvHD	allo_GvHD
Colon	allo	3013000	GvHD	allo_GvHD
Colon	allo	680000	GvHD	allo_GvHD
Colon	allo	1502000	GvHD	allo_GvHD
Colon	allo	6865000	GvHD	allo_GvHD
Colon	poly	1608000	GvHD	poly_GvHD
Colon	poly	1986000	GvHD	poly_GvHD
Colon	poly	667000	GvHD	poly_GvHD
Colon	poly	2225000	GvHD	poly_GvHD
Colon	poly	1251000	GvHD	poly_GvHD
Colon	poly	2061000	GvHD	poly_GvHD
Liver	organ	36000	resident	organ_resident
Liver	organ	26000	resident	organ_resident
Liver	organ	27000	resident	organ_resident
Liver	organ	20000	resident	organ_resident
Liver	allo	27498	noGvHD	allo_noGvHD
Liver	allo	69099	noGvHD	allo_noGvHD
Liver	allo	86837	noGvHD	allo_noGvHD
Liver	allo	52563	noGvHD	allo_noGvHD
Liver	allo	477469	noGvHD	allo_noGvHD
Liver	allo	613431	noGvHD	allo_noGvHD
Liver	poly	30245	noGvHD	poly_noGvHD
Liver	poly	57246	noGvHD	poly_noGvHD
Liver	poly	93499	noGvHD	poly_noGvHD
Liver	poly	134643	noGvHD	poly_noGvHD
Liver	poly	73449	noGvHD	poly_noGvHD
Liver	poly	30144	noGvHD	poly_noGvHD
Liver	allo	84000	GvHD	allo_GvHD
Liver	allo	103000	GvHD	allo_GvHD
Liver	allo	76000	GvHD	allo_GvHD
Liver	allo	72000	GvHD	allo_GvHD
Liver	allo	63000	GvHD	allo_GvHD
Liver	allo	75000	GvHD	allo_GvHD
Liver	allo	126000	GvHD	allo_GvHD
Liver	poly	93000	GvHD	poly_GvHD
Liver	poly	55000	GvHD	poly_GvHD
Liver	poly	9000	GvHD	poly_GvHD
Liver	poly	54000	GvHD	poly_GvHD
Liver	poly	44000	GvHD	poly_GvHD
Liver	poly	70000	GvHD	poly_GvHD
Spleen	organ	2755000	resident	organ_resident
Spleen	organ	4163000	resident	organ_resident
Spleen	organ	2678000	resident	organ_resident
Spleen	organ	3079000	resident	organ_resident
Spleen	allo	237776	noGvHD	allo_noGvHD
Spleen	allo	381671	noGvHD	allo_noGvHD
Spleen	allo	334215	noGvHD	allo_noGvHD
Spleen	allo	98018	noGvHD	allo_noGvHD
Spleen	allo	89696	noGvHD	allo_noGvHD
Spleen	allo	154184	noGvHD	allo_noGvHD
Spleen	poly	37366	noGvHD	poly_noGvHD
Spleen	poly	187343	noGvHD	poly_noGvHD
Spleen	poly	162781	noGvHD	poly_noGvHD
Spleen	poly	120371	noGvHD	poly_noGvHD
Spleen	poly	125963	noGvHD	poly_noGvHD
Spleen	poly	154448	noGvHD	poly_noGvHD
Spleen	allo	548000	GvHD	allo_GvHD
Spleen	allo	547000	GvHD	allo_GvHD
Spleen	allo	860000	GvHD	allo_GvHD
Spleen	allo	214000	GvHD	allo_GvHD
Spleen	allo	382000	GvHD	allo_GvHD
Spleen	allo	488000	GvHD	allo_GvHD
Spleen	allo	597000	GvHD	allo_GvHD
Spleen	poly	566000	GvHD	poly_GvHD
Spleen	poly	376000	GvHD	poly_GvHD
Spleen	poly	87000	GvHD	poly_GvHD
Spleen	poly	393000	GvHD	poly_GvHD
Spleen	poly	205000	GvHD	poly_GvHD
Spleen	poly	195000	GvHD	poly_GvHD
mLN	organ	577000	resident	organ_resident
mLN	organ	339000	resident	organ_resident
mLN	organ	844000	resident	organ_resident
mLN	organ	757000	resident	organ_resident
mLN	allo	58000	GvHD	allo_GvHD
mLN	allo	44000	GvHD	allo_GvHD
mLN	allo	70000	GvHD	allo_GvHD
mLN	allo	34000	GvHD	allo_GvHD
mLN	poly	75000	GvHD	poly_GvHD
mLN	poly	44000	GvHD	poly_GvHD
mLN	poly	25000	GvHD	poly_GvHD
mLN	poly	33000	GvHD	poly_GvHD
mLN	allo		noGvHD	allo_noGvHD
mLN	poly		noGvHD	poly_noGvHD
BM	organ	136000	resident	organ_resident
BM	organ	111000	resident	organ_resident
BM	organ	102000	resident	organ_resident
BM	allo	104000	GvHD	allo_GvHD
BM	allo	139000	GvHD	allo_GvHD
BM	allo	294000	GvHD	allo_GvHD
BM	allo	50000	GvHD	allo_GvHD
BM	poly	112000	GvHD	poly_GvHD
BM	poly	86000	GvHD	poly_GvHD
BM	poly	46000	GvHD	poly_GvHD
BM	poly	79000	GvHD	poly_GvHD
BM	allo		noGvHD	allo_noGvHD
BM	poly		noGvHD	poly_noGvHD
