organ	celltype	count	type	category
Colon	none	1	Treg	none_Treg
Colon	allo	2526000	Treg	allo_Treg
Colon	allo	2470000	Treg	allo_Treg
Colon	allo	2641000	Treg	allo_Treg
Colon	allo	3013000	Treg	allo_Treg
Colon	allo	680000	Treg	allo_Treg
Colon	allo	1502000	Treg	allo_Treg
Colon	allo	6865000	Treg	allo_Treg
Colon	poly	1608000	Treg	poly_Treg
Colon	poly	1986000	Treg	poly_Treg
Colon	poly	667000	Treg	poly_Treg
Colon	poly	2225000	Treg	poly_Treg
Colon	poly	1251000	Treg	poly_Treg
Colon	poly	2061000	Treg	poly_Treg
Liver	none	1	Treg	none_Treg
Liver	allo	84000	Treg	allo_Treg
Liver	allo	103000	Treg	allo_Treg
Liver	allo	76000	Treg	allo_Treg
Liver	allo	72000	Treg	allo_Treg
Liver	allo	63000	Treg	allo_Treg
Liver	allo	75000	Treg	allo_Treg
Liver	allo	126000	Treg	allo_Treg
Liver	poly	93000	Treg	poly_Treg
Liver	poly	55000	Treg	poly_Treg
Liver	poly	9000	Treg	poly_Treg
Liver	poly	54000	Treg	poly_Treg
Liver	poly	44000	Treg	poly_Treg
Liver	poly	70000	Treg	poly_Treg
Spleen	none	1	Treg	none_Treg
Spleen	allo	548000	Treg	allo_Treg
Spleen	allo	547000	Treg	allo_Treg
Spleen	allo	860000	Treg	allo_Treg
Spleen	allo	214000	Treg	allo_Treg
Spleen	allo	382000	Treg	allo_Treg
Spleen	allo	488000	Treg	allo_Treg
Spleen	allo	597000	Treg	allo_Treg
Spleen	poly	566000	Treg	poly_Treg
Spleen	poly	376000	Treg	poly_Treg
Spleen	poly	87000	Treg	poly_Treg
Spleen	poly	393000	Treg	poly_Treg
Spleen	poly	205000	Treg	poly_Treg
Spleen	poly	195000	Treg	poly_Treg
mLN	none	1	Treg	none_Treg
mLN	allo	104000	Treg	allo_Treg
mLN	allo	139000	Treg	allo_Treg
mLN	allo	294000	Treg	allo_Treg
mLN	allo	50000	Treg	allo_Treg
mLN	poly	112000	Treg	poly_Treg
mLN	poly	86000	Treg	poly_Treg
mLN	poly	46000	Treg	poly_Treg
mLN	poly	79000	Treg	poly_Treg
BM	none	1	Treg	none_Treg
BM	allo	58000	Treg	allo_Treg
BM	allo	44000	Treg	allo_Treg
BM	allo	70000	Treg	allo_Treg
BM	allo	34000	Treg	allo_Treg
BM	poly	75000	Treg	poly_Treg
BM	poly	44000	Treg	poly_Treg
BM	poly	25000	Treg	poly_Treg
BM	poly	33000	Treg	poly_Treg
Spleen	none	23629	Tconv	none_Tconv
Spleen	none	17026	Tconv	none_Tconv
Spleen	none	33574	Tconv	none_Tconv
Spleen	none	64420	Tconv	none_Tconv
Spleen	allo	5168	Tconv	allo_Tconv
Spleen	allo	33739	Tconv	allo_Tconv
Spleen	allo	19081	Tconv	allo_Tconv
Spleen	allo	59470	Tconv	allo_Tconv
Spleen	poly	68430	Tconv	poly_Tconv
Spleen	poly	79928	Tconv	poly_Tconv
Spleen	poly	58862	Tconv	poly_Tconv
Spleen	poly	47944	Tconv	poly_Tconv
mLN	none	11178	Tconv	none_Tconv
mLN	none	7235	Tconv	none_Tconv
mLN	none	14887	Tconv	none_Tconv
mLN	none	16844	Tconv	none_Tconv
mLN	allo	3670	Tconv	allo_Tconv
mLN	allo	13216	Tconv	allo_Tconv
mLN	allo	6244	Tconv	allo_Tconv
mLN	allo	19945	Tconv	allo_Tconv
mLN	poly	18802	Tconv	poly_Tconv
mLN	poly	16990	Tconv	poly_Tconv
mLN	poly	10845	Tconv	poly_Tconv
mLN	poly	17703	Tconv	poly_Tconv
BM	none	3336	Tconv	none_Tconv
BM	none	3435	Tconv	none_Tconv
BM	none	3398	Tconv	none_Tconv
BM	none	3671	Tconv	none_Tconv
BM	allo	470	Tconv	allo_Tconv
BM	allo	1696	Tconv	allo_Tconv
BM	allo	871	Tconv	allo_Tconv
BM	allo	2615	Tconv	allo_Tconv
BM	poly	2805	Tconv	poly_Tconv
BM	poly	3354	Tconv	poly_Tconv
BM	poly	2272	Tconv	poly_Tconv
BM	poly	4353	Tconv	poly_Tconv
Liver	none	8947	Tconv	none_Tconv
Liver	none	11784	Tconv	none_Tconv
Liver	none	8881	Tconv	none_Tconv
Liver	none	14363	Tconv	none_Tconv
Liver	allo	2135	Tconv	allo_Tconv
Liver	allo	3755	Tconv	allo_Tconv
Liver	allo	3428	Tconv	allo_Tconv
Liver	allo	5443	Tconv	allo_Tconv
Liver	poly	12650	Tconv	poly_Tconv
Liver	poly	6768	Tconv	poly_Tconv
Liver	poly	4860	Tconv	poly_Tconv
Liver	poly	3241	Tconv	poly_Tconv
Colon	none	218994	Tconv	none_Tconv
Colon	none	62180	Tconv	none_Tconv
Colon	none	154518	Tconv	none_Tconv
Colon	none	148838	Tconv	none_Tconv
Colon	allo	101392	Tconv	allo_Tconv
Colon	allo	122519	Tconv	allo_Tconv
Colon	allo	83286	Tconv	allo_Tconv
Colon	allo	333682	Tconv	allo_Tconv
Colon	poly	158846	Tconv	poly_Tconv
Colon	poly	89011	Tconv	poly_Tconv
Colon	poly	104869	Tconv	poly_Tconv
Colon	poly	262549	Tconv	poly_Tconv
